name,author,narrator,time,releasedate,language,stars,price
Geronimo Stilton #11 & #12,Geronimo Stilton,Bill Lobely,140,2008-04-08,English,5.0,468
The Burning Maze,Rick Riordan,Robbie Daymond,788,2018-01-05,English,4.5,820
The Deep End,Jeff Kinney,Dan Russell,123,2020-06-11,English,4.5,410
Daughter of the Deep,Rick Riordan,Soneela Nankani,676,2021-05-10,English,4.5,615
"The Lightning Thief: Percy Jackson, Book 1",Rick Riordan,Jesse Bernstein,10,2010-01-13,English,4.5,820
The Hunger Games: Special Edition,Suzanne Collins,Tatiana Maslany,635,2018-10-30,English,5.0,656
Quest for the Diamond Sword,Winter Morgan,Luke Daniels,143,2014-11-25,English,5.0,233
The Dark Prophecy,Rick Riordan,Robbie Daymond,752,2017-02-05,English,5.0,820
Merlin Mission Collection,Mary Pope Osborne,Mary Pope Osborne,656,2017-02-05,English,5.0,"1,256"
The Tyrant’s Tomb,Rick Riordan,Robbie Daymond,802,2019-09-24,English,5.0,820
"The Titan's Curse: Percy Jackson, Book 3",Rick Riordan,Jesse Bernstein,528,2010-01-14,English,4.5,820
Magic Tree House Collection: Books 9-16,Mary Pope Osborne,Mary Pope Osborne,323,2011-08-24,English,5.0,"1,206"
Magic Tree House Collection: Books 1-8,Mary Pope Osborne,Mary Pope Osborne,361,2011-09-27,English,5.0,"1,206"
Magnus Chase and the Ship of the Dead,Rick Riordan,Michael Crouch,778,2017-03-10,English,5.0,820
Northern Lights,Philip Pullman,"Philip Pullman,fullcast, Ruth Wilson",715,2021-06-24,English,4.0,"1,093"
Geronimo Stilton #13 and #14,Geronimo Stilton,Bill Lobley,145,2008-08-02,English,4.5,467
Magic Tree House Collection,Mary Pope Osborne,Mary Pope Osborne,304,2004-12-26,English,5.0,"1,206"
Exile,Shannon Messenger,Caitlin Kelly,881,2018-06-11,English,5.0,836
Merlin Mission Collection,Mary Pope Osborne,Mary Pope Osborne,618,2017-02-05,English,5.0,"1,256"
Neverseen,Shannon Messenger,Caitlin Kelly,1002,2018-06-11,English,5.0,"1,003"
The Tower of Nero,Rick Riordan,Robbie Daymond,732,2020-06-10,English,5.0,615
